,Strategy_Equity,Benchmark_Equity
2024-01-10,1355973.75,1092775.6
2024-01-11,1349428.875,1090746.4
2024-01-12,1346358.0,1091280.5
2024-01-16,1343507.375,1092828.9
2024-01-17,1351557.5,1086821.8
2024-01-18,1346784.875,1105937.6
2024-01-19,1341402.75,1126548.4
2024-01-22,1327125.125,1126548.4
2024-01-23,1325766.75,1134157.4
2024-01-24,1317900.0,1136613.6
2024-01-25,1322557.25,1131194.0
2024-01-26,1317597.5,1130126.0
2024-01-29,1312223.375,1144409.4
2024-01-30,1308389.125,1126361.6
2024-01-31,1307527.5,1117471.2
2024-02-01,1300544.5,1137361.1
2024-02-02,1306150.375,1143101.2
2024-02-05,1298411.875,1144516.2
2024-02-06,1308780.375,1141472.6
2024-02-07,1318845.5,1153299.9
2024-02-08,1315656.625,1155168.8
2024-02-09,1316802.75,1167316.4
2024-02-12,1321849.375,1160027.8
2024-02-13,1317566.375,1144596.4
2024-02-14,1313319.75,1156610.5
2024-02-15,1314106.875,1161389.4
2024-02-16,1331799.0,1146999.1
2024-02-20,1318217.625,1137281.0
2024-02-21,1304360.75,1151457.8
2024-02-22,1296672.25,1168571.1
2024-02-23,1292789.0,1163365.0
2024-02-26,1286416.75,1164432.9
2024-02-27,1285066.75,1167476.5
2024-02-28,1282562.625,1160962.2
2024-02-29,1279110.0,1173323.4
2024-03-01,1281450.625,1188327.6
2024-03-04,1281986.5,1182747.9
2024-03-05,1288841.875,1165127.1
2024-03-06,1279634.625,1168411.0
2024-03-07,1276737.0,1186725.8
2024-03-08,1296988.75,1169398.8
2024-03-11,1289343.0,1172762.6
2024-03-12,1290639.0,1184856.9
2024-03-13,1286596.75,1178022.1
2024-03-14,1289304.5,1169879.4
2024-03-15,1286730.875,1158959.9
2024-03-18,1283670.25,1165554.2
2024-03-19,1293011.0,1170760.4
2024-03-20,1287967.125,1190917.4
2024-03-21,1280330.75,1192225.6
2024-03-22,1276989.875,1189796.0
2024-03-25,1283377.875,1189395.5
2024-03-26,1282819.625,1186111.8
2024-03-27,1283138.5,1186138.4
2024-03-28,1278488.5,1185337.5
2024-04-01,1286444.25,1186405.4
2024-04-02,1287731.875,1177381.5
2024-04-03,1284467.625,1184883.6
2024-04-04,1316334.5,1163231.6
2024-04-05,1310383.75,1176393.6
2024-04-08,1314510.75,1176687.2
2024-04-09,1313287.375,1181145.9
2024-04-10,1308020.375,1167930.4
2024-04-11,1290776.0,1189662.6
2024-04-12,1289057.25,1167236.2
2024-04-15,1295973.875,1150389.8
2024-04-16,1290745.625,1154845.8
2024-04-17,1295589.875,1138909.8
2024-04-18,1288054.625,1126708.6
2024-04-19,1286884.625,1104896.4
2024-04-22,1285008.25,1116243.1
2024-04-23,1283732.375,1141045.6
2024-04-24,1287818.625,1125827.6
2024-04-25,1296150.375,1145530.9
2024-04-26,1297477.125,1151003.9
2024-04-29,1303586.75,1155542.5
2024-04-30,1301748.75,1129779.0
2024-05-01,1343905.0,1131621.1
2024-05-02,1354833.125,1146545.2
2024-05-03,1355582.25,1164432.9
2024-05-06,1354647.875,1174631.6
2024-05-07,1357091.0,1175966.5
2024-05-08,1358350.0,1173510.2
2024-05-09,1357569.875,1178582.9
2024-05-10,1363095.25,1178049.0
2024-05-13,1362448.625,1182320.6
2024-05-14,1362185.25,1191077.6
2024-05-15,1358066.125,1210647.5
2024-05-16,1352700.25,1206695.9
2024-05-17,1351039.25,1205547.8
2024-05-20,1356939.5,1213557.2
2024-05-21,1354095.0,1217748.8
2024-05-22,1349083.375,1221911.0
2024-05-23,1351765.125,1211421.4
2024-05-24,1347761.875,1222634.5
2024-05-28,1334405.25,1226452.4
2024-05-29,1334483.125,1213316.9
2024-05-30,1332112.375,1202584.4
2024-05-31,1341617.5,1205734.8
2024-06-03,1339206.0,1209712.8
2024-06-04,1328986.0,1215292.8
2024-06-05,1329489.125,1238493.2
2024-06-06,1338947.375,1237719.0
2024-06-07,1333298.375,1233981.2
2024-06-10,1333396.875,1239053.9
2024-06-11,1333716.5,1250293.8
2024-06-12,1328189.75,1272746.6
2024-06-13,1326312.25,1274135.0
2024-06-14,1312841.0,1279367.8
2024-06-17,1301455.125,1295493.4
2024-06-18,1305108.875,1296881.6
2024-06-20,1315415.0,1287430.6
2024-06-21,1307072.875,1282838.6
2024-06-24,1301941.5,1266979.9
2024-06-25,1299444.75,1279768.2
2024-06-26,1296520.25,1276938.4
2024-06-27,1291987.375,1288704.0
